biasa,0
oke,0
cukup,0
standar,0
lumayan,0
normal,0
agak,0
netral,0
umum,0
rata rata,0
seimbang,0
saja,0
terkadang,0
pada umumnya,0
pas,0
sesuai,0
beberapa,0
lainnya,0
sedikit,0
mungkin,0
setiap,0
sering,0
selalu,0
serupa,0
wajar,0
teratur,0
waktu,0
terlihat,0
rata,0
tengah,0
antara,0
agak lebih,0
pernah,0
sekadar,0
dalam rangka,0
tidak buruk,0
belum jelas,0
keputusan,0
belum ada,0
waktu tertentu,0
lebih sedikit,0
beberapa kali,0
selanjutnya,0
seringkali,0
tidak terlalu banyak,0
terlihat wajar,0
hanya,0
terlihat biasa,0
berbeda,0
setelah itu,0
berikutnya,0
kebanyakan,0
seperti biasa,0
di bawah rata rata,0
sedikit lebih,0
menyebabkan,0
sama saja,0
berbeda sedikit,0
dalam beberapa hal,0
terkait,0
apapun,0
sesuai dengan,0
serupa dengan,0
alternatif,0
bukan masalah besar,0
beberapa hal,0
terbatas,0
mengarah pada,0
berkala,0
di bawah normal,0
berlaku umum,0
dalam kategori,0
berlanjut,0
sebaiknya,0
berlaku,0
perubahan kecil,0
berjalan,0
selama itu,0
berulang,0
terdapat,0
dalam pengertian,0
setiap kali,0
tidak perlu,0
beberapa kali saja,0
kondisi,0
tidak penting,0
lebih banyak,0
berhubungan,0
waktu yang tepat,0
berlangsung,0
kondisi biasa,0
langsung,0
memadai,0
tidak berbeda,0
terjadi,0
berulang kali,0
berulang tanpa masalah,0
keadaan,0
seimbang,0
berterima,0
dengan cara,0
sesuai,0
di waktu yang sama,0
terbatas pada,0
beberapa kali lebih,0
tidak banyak,0
dalam durasi,0
terbatas pada,0
selalu,0
beberapa kali lebih,0
berhasil,0
di tempat yang sama,0
menghasilkan,0
tiap kali,0
sebagaimana mestinya,0
berdampak kecil,0
tiap waktu,0
perbedaan kecil,0
beberapa,0
berfungsi,0
terdapat perbedaan kecil,0
setiap waktu,0
lebih banyak,0
biasa saja,0
sedikit lebih lama,0
terlihat biasa saja,0
perlu diperhatikan,0
dalam bentuk yang sama,0
menunggu,0
seperti yang diharapkan,0
terlihat sedikit lebih,0
setiap saat,0
tidak berubah,0
berkala,0
pada tahap tertentu,0
terlihat,0
terus,0
beberapa langkah,0
